"url","text"
"https://pec.ac.in/tenders/consultancy","Consultancy"
"https://pec.ac.in/tenders/courses-and-conferences","Courses and Conferences"
"https://pec.ac.in/tenders/yrf/about-programme","Young Research Fellows Programme"
"https://pec.ac.in/tenders/norms-and-forms","Norms and Forms"
"https://pec.ac.in/tenders/research/contacts","Contacts"
"https://pec.ac.in/tenders/campus-life","Campus Life"
"https://pec.ac.in/tenders/current-students","Students"
"https://pec.ac.in/tenders/facilities","Facilities"
"https://pec.ac.in/tenders/institute","Institute"
"https://pec.ac.in/tenders/history","History"
"https://pec.ac.in/tenders/vision","Vision & Mission"
"https://pec.ac.in/tenders/campus","Campus"
"https://pec.ac.in/tenders/location","Location"
"https://pec.ac.in/tenders/top-stories","Top Stories"
"https://pec.ac.in/tenders/pec-anthem","PEC Anthem"
"https://pec.ac.in/tenders/all_events","News & Events"
"https://pec.ac.in/tenders/rules-guidelines-forms","Rules, Guidelines & Forms"
"https://pec.ac.in/tenders/office-orders","Office Orders"
"https://pec.ac.in/tenders/tenders","Tenders and Quotations"
"https://pec.ac.in/tenders/jobs","Job Openings"
"https://pec.ac.in/tenders/tenders?field_tenders_quotations_auction_value=&order=field_last_date&sort=asc","Last Date"
"https://pec.ac.in/sites/default/files/uploads/tenders/tender_cc_7-9-20.pdf","Download Tender"
"https://pec.ac.in/tenders/tenders/archive","Archive of Previous Tenders"
"https://pec.ac.in/tenders/research/overview","Overview"
"https://pec.ac.in/tenders/research-groups","Research Groups"
"https://pec.ac.in/tenders/sponsored-research","Sponsored Research"
"https://pec.ac.in/tenders/consultancy","Consultancy"
"https://pec.ac.in/tenders/coe/collaborations","Collaborations"
"https://pec.ac.in/tenders/house-projects","In-House Projects"
"https://pec.ac.in/tenders/current-students/time-tables","Time Tables"
"https://pec.ac.in/tenders/current-students/examination","Examination"
"https://pec.ac.in/tenders/academics/calendar","Academic Calendar"
"https://pec.ac.in/tenders/programmes/ug/structure","Undergraduate Programme"
"https://pec.ac.in/tenders/programmes/pg/structure","Postgraduate Programme"
"https://pec.ac.in/tenders/programmes/phd","PhD Programme"
"https://pec.ac.in/tenders/library","Library"
"https://pec.ac.in/tenders/computer-centre","Computer Centre"
"https://pec.ac.in/tenders/Sports","Sports"
"https://pec.ac.in/tenders/hostels","Hostels"
"https://pec.ac.in/tenders/medical-facilities","Medical Facility"
"https://pec.ac.in/tenders/workshops","Workshops"
"https://pec.ac.in/tenders/multimedia","Multimedia"
"https://pec.ac.in/tenders/prospectus","Brochure & Prospectus"
"https://pec.ac.in/tenders/institute/sexual-harassment-complaints-committee","Sexual Harassment Complaints"
"https://pec.ac.in/tenders/credits","Website Credits"
"https://pec.ac.in/tenders/web_editor","Web Editor"
"https://pec.ac.in/tenders/anti-ragging","Anti-Ragging"
"https://pec.ac.in/tenders/privacy-policy","Privacy Statement"
"https://pec.ac.in/tenders/reporting-copyright-infringement","Report Copyright Infringement"
"https://pec.ac.in/office-orders/jobs","Jobs"
"https://pec.ac.in/office-orders/tenders","Tenders"
"https://pec.ac.in/office-orders","Office Orders"
"https://pec.ac.in/office-orders",""
"https://pec.ac.in/office-orders",""
"https://pec.ac.in/nirf-data-20","NIRF"
"https://pec.ac.in/office-orders/node/549","RTI"
"https://pec.ac.in/office-orders/tnp/about-cell","Placements"
"https://pec.ac.in/office-orders/institute-functionaries","Contact Us"
"https://pec.ac.in/office-orders/",""
"https://pec.ac.in/office-orders/","Home"
"https://pec.ac.in/office-orders/institute","Institute"
"https://pec.ac.in/office-orders/history","History"
"https://pec.ac.in/office-orders/vision","Vision & Mission"
"https://pec.ac.in/office-orders/campus","Campus"
"https://pec.ac.in/office-orders/location","Location"
"https://pec.ac.in/office-orders/all_events","News and Events"
"https://pec.ac.in/office-orders/tenders","Tenders & Quotations"
"https://pec.ac.in/office-orders/balance-sheets","Balance Sheets"
"https://pec.ac.in/office-orders/faculty-affairs","Faculty Affairs"
"https://pec.ac.in/office-orders/institute/iqac-reports","IQAC Reports"
"https://pec.ac.in/office-orders/administration","Administration"
"https://pec.ac.in/office-orders/board-of-governors","Board Of Governors"
"https://pec.ac.in/office-orders/chairman-bog","Chairman, Board of Governors"
"https://pec.ac.in/office-orders/director","Director"
"https://pec.ac.in/office-orders/senate-members","Senate Members"
"https://pec.ac.in/office-orders/building-works-committee","Building & Works Committee"
"https://pec.ac.in/office-orders/finance-committee","Finance Committee"
"https://pec.ac.in/office-orders/grievance-redressal-committee","Grievance Redressal Committee"
"https://pec.ac.in/office-orders/institute-functionaries","Institute Functionaries"
"https://pec.ac.in/office-orders/minutes-meetings","Minutes of Meetings"
"https://pec.ac.in/office-orders/programmes","Programmes"
"https://pec.ac.in/office-orders/programmes/ug/structure","Undergraduate"
"https://pec.ac.in/office-orders/programmes/pg/structure","Postgraduate"
"https://pec.ac.in/office-orders/programmes/phd","Doctorate"
"https://pec.ac.in/office-orders/programmes/student-support","Academic Support for Students"
"https://pec.ac.in/office-orders/programmes/accreditation","Accreditation"
"https://pec.ac.in/office-orders/programmes/scholarships","Scholarships"
"https://pec.ac.in/office-orders/iqac/aqar-reports","IQAC Reports"
"https://pec.ac.in/office-orders/admissions","Admissions"
"https://pec.ac.in/office-orders/academic-units","Academic Units"
"https://pec.ac.in/office-orders/departments","Departments"
"https://pec.ac.in/office-orders/centres","Centres"
"https://pec.ac.in/office-orders/research/overview","Research"
"https://pec.ac.in/office-orders/research/overview","Overview"
"https://pec.ac.in/office-orders/research-groups","Research Groups"
"https://pec.ac.in/office-orders/sponsored-research","Sponsored Research"
"https://pec.ac.in/office-orders/house-projects","In-House Projects"
"https://pec.ac.in/office-orders/consultancy","Consultancy"
"https://pec.ac.in/office-orders/courses-and-conferences","Courses and Conferences"
"https://pec.ac.in/office-orders/yrf/about-programme","Young Research Fellows Programme"
"https://pec.ac.in/office-orders/norms-and-forms","Norms and Forms"
"https://pec.ac.in/office-orders/research/contacts","Contacts"
"https://pec.ac.in/office-orders/campus-life","Campus Life"
"https://pec.ac.in/office-orders/current-students","Students"
"https://pec.ac.in/office-orders/facilities","Facilities"
"https://pec.ac.in/office-orders/institute","Institute"
"https://pec.ac.in/office-orders/history","History"
"https://pec.ac.in/office-orders/vision","Vision & Mission"
"https://pec.ac.in/office-orders/campus","Campus"
"https://pec.ac.in/office-orders/location","Location"
"https://pec.ac.in/office-orders/top-stories","Top Stories"
"https://pec.ac.in/office-orders/pec-anthem","PEC Anthem"
"https://pec.ac.in/office-orders/all_events","News & Events"
"https://pec.ac.in/office-orders/rules-guidelines-forms","Rules, Guidelines & Forms"
"https://pec.ac.in/office-orders/office-orders","Office Orders"
"https://pec.ac.in/office-orders/tenders","Tenders and Quotations"
"https://pec.ac.in/office-orders/jobs","Job Openings"
"https://pec.ac.in/sites/default/files/office_orders/notice-1-9-20.PDF","Download Office Order"
